Date,EUR-USD,XAG-USD
2020-05-11 00:00:00+00:00,-0.00262964,-0.00751300
2020-05-12 00:00:00+00:00,0.00333040,-0.00064700
2020-05-13 00:00:00+00:00,-0.00225900,0.00932280
2020-05-14 00:00:00+00:00,-0.00133999,0.01856960
2020-05-15 00:00:00+00:00,0.00097164,0.04688435
2020-05-18 00:00:00+00:00,0.00878085,0.01126552
2020-05-19 00:00:00+00:00,0.00109951,0.01780650
2020-05-20 00:00:00+00:00,0.00494234,0.00522838
2020-05-21 00:00:00+00:00,-0.00277778,-0.02414838
2020-05-22 00:00:00+00:00,-0.00424677,0.00913697
2020-05-25 00:00:00+00:00,-0.00059589,-0.00326359
2020-05-26 00:00:00+00:00,0.00706325,0.00339122
2020-05-27 00:00:00+00:00,0.00350685,0.00533186
2020-05-28 00:00:00+00:00,0.00553690,0.00985364
2020-05-29 00:00:00+00:00,0.00243726,0.02462333
2020-06-01 00:00:00+00:00,0.00085462,0.01341261
2020-06-02 00:00:00+00:00,0.00539302,-0.01435394
2020-06-03 00:00:00+00:00,0.00442537,-0.02187214
2020-06-04 00:00:00+00:00,0.00894526,0.00104730
2020-06-05 00:00:00+00:00,-0.00392572,-0.01461856
2020-06-08 00:00:00+00:00,-0.00110458,0.01652513
2020-06-09 00:00:00+00:00,0.00252123,-0.00801535
2020-06-10 00:00:00+00:00,0.00304434,0.02313076
2020-06-11 00:00:00+00:00,-0.00694994,-0.01946553
2020-06-12 00:00:00+00:00,-0.00287916,-0.00748703
2020-06-15 00:00:00+00:00,0.00759865,-0.00767387
2020-06-16 00:00:00+00:00,-0.00639471,0.00546212
2020-06-17 00:00:00+00:00,-0.00204172,0.00037169
2020-06-18 00:00:00+00:00,-0.00302437,-0.00448725
2020-06-19 00:00:00+00:00,-0.00276588,0.01090982
2020-06-22 00:00:00+00:00,0.00908155,0.00163137
2020-06-23 00:00:00+00:00,0.00305905,0.00999691
2020-06-24 00:00:00+00:00,-0.00552486,-0.02627409
2020-06-25 00:00:00+00:00,-0.00284444,0.01496202
2020-06-26 00:00:00+00:00,0.00000000,0.00025319
2020-06-29 00:00:00+00:00,0.00218311,0.00235651
2020-06-30 00:00:00+00:00,-0.00120032,0.01875175
2020-07-01 00:00:00+00:00,0.00160235,-0.01010989
2020-07-02 00:00:00+00:00,-0.00124428,-0.00360790
2020-07-03 00:00:00+00:00,0.00084538,0.00551501
2020-07-06 00:00:00+00:00,0.00582378,0.01521956
2020-07-07 00:00:00+00:00,-0.00335912,-0.00191147
2020-07-08 00:00:00+00:00,0.00558783,0.02352877
2020-07-09 00:00:00+00:00,-0.00436604,-0.00149689
2020-07-10 00:00:00+00:00,0.00110737,0.00251640
2020-07-13 00:00:00+00:00,0.00318331,0.01815037
2020-07-14 00:00:00+00:00,0.00572940,0.00867815
2020-07-15 00:00:00+00:00,0.00061350,0.00834435
2020-07-16 00:00:00+00:00,-0.00254007,-0.01529131
2020-07-17 00:00:00+00:00,0.00346856,0.00837770
2020-07-20 00:00:00+00:00,0.00122356,0.02938440
2020-07-21 00:00:00+00:00,0.00689595,0.12507845
2020-07-22 00:00:00+00:00,0.00255743,0.01872225
2020-07-23 00:00:00+00:00,0.00268062,-0.01082099
2020-07-24 00:00:00+00:00,0.00526066,0.00901280
2020-07-27 00:00:00+00:00,0.01017167,0.10948066
2020-07-28 00:00:00+00:00,-0.00424863,-0.05184910
2020-07-29 00:00:00+00:00,0.00533345,-0.00117446
2020-07-30 00:00:00+00:00,0.00772430,-0.03071623
2020-07-31 00:00:00+00:00,-0.00770721,0.03496712
2020-08-03 00:00:00+00:00,-0.00178246,-0.01271876
2020-08-04 00:00:00+00:00,0.00454913,0.08207770
2020-08-05 00:00:00+00:00,0.00490943,0.02466808
2020-08-06 00:00:00+00:00,0.00029481,0.10711630
2020-08-07 00:00:00+00:00,-0.00741021,-0.05160023
