Datetime,eur-usd,ibus500
2021-01-04 09:00:00+00:00,0.0009770793469852102,0.002118759239739365
2021-01-04 10:00:00+00:00,-8.134379956892257e-05,-0.0007607701905101294
2021-01-04 11:00:00+00:00,8.135041692081124e-05,-0.00016551073966086793
2021-01-04 12:00:00+00:00,0.0008134379956887816,-6.621525520023042e-05
2021-01-04 13:00:00+00:00,-0.0003657495834519242,-0.001319095227815481
2021-01-04 14:00:00+00:00,-0.0007724205219936664,-0.005829720701210905
2021-01-04 15:00:00+00:00,-0.001423979820171617,-0.009182694808789527
2021-01-04 16:00:00+00:00,-0.0015074967405477313,-0.00824731719860472
2021-01-04 17:00:00+00:00,-4.0804668053895377e-05,-0.0018706026245450813
2021-01-04 18:00:00+00:00,-0.00016322533257162597,0.00632953570257988
2021-01-04 19:00:00+00:00,8.162598971517276e-05,-0.0015920274293621528
2021-01-04 20:00:00+00:00,-0.00020404831864195838,0.0025854168950902867
2021-01-05 08:00:00+00:00,0.0020408996285561365,0.0006993677337649995
2021-01-05 09:00:00+00:00,-0.00016293942726786081,0.0004695171393993558
2021-01-05 10:00:00+00:00,0.00036667345691587805,0.0
2021-01-05 11:00:00+00:00,0.0004887187423636696,-0.001211001503637843
2021-01-05 12:00:00+00:00,-0.0008548400227956776,-0.0011476607298852581
2021-01-05 13:00:00+00:00,-0.0008148299042574081,-0.004052517819318258
2021-01-05 14:00:00+00:00,0.00020387359836893104,0.008511256275541612
2021-01-05 15:00:00+00:00,0.0008560945780675677,-0.0036457352030792034
2021-01-05 16:00:00+00:00,0.0015477984603478045,0.0025177247008512094
2021-01-05 17:00:00+00:00,0.0004066859164668646,0.0020021152900440153
2021-01-05 18:00:00+00:00,-0.00048782470832164915,0.0010514978465807623
2021-01-05 19:00:00+00:00,0.0008134379956887816,0.001405001860351307
2021-01-05 20:00:00+00:00,-0.0007721380095094821,-0.00042922542248524653
2021-01-06 08:00:00+00:00,0.0024808849845452396,-0.007173826403062744
2021-01-06 09:00:00+00:00,0.0011359487200290896,0.004927939361746736
2021-01-06 10:00:00+00:00,0.0,6.72486815895823e-05
2021-01-06 11:00:00+00:00,-8.104712890544263e-05,0.00020442224490579974
2021-01-06 12:00:00+00:00,0.00024316109422506393,-0.0014118387384346454
2021-01-06 13:00:00+00:00,-0.0017017138689680023,-0.0013465093764180036
2021-01-06 14:00:00+00:00,-0.0008117212549211272,0.007342977451962662
2021-01-06 15:00:00+00:00,-0.0021934278402858665,0.007865004611119941
2021-01-06 16:00:00+00:00,0.0005699165479340351,0.000733084279459284
2021-01-06 17:00:00+00:00,0.0007730176166647063,0.0028107519889586374
2021-01-06 18:00:00+00:00,0.0009350353687291868,0.00017203663586329299
2021-01-06 19:00:00+00:00,-0.00028431014174901126,-0.005361327259279403
2021-01-06 20:00:00+00:00,0.0013813276996832435,-0.002288052508144678
2021-01-07 08:00:00+00:00,-0.00239370334307043,0.005525252296299632
2021-01-07 09:00:00+00:00,-0.002074098173980077,-0.0013259873633404418
2021-01-07 10:00:00+00:00,-0.0015893715869265135,-0.0019916219104965105
2021-01-07 11:00:00+00:00,0.0006122698885668854,0.0
2021-01-07 12:00:00+00:00,0.0008566533409479771,0.002591614503994366
2021-01-07 13:00:00+00:00,8.151620134499993e-05,-0.0003954336699826255
2021-01-07 14:00:00+00:00,-0.0007743407914577727,0.006499359489184231
2021-01-07 15:00:00+00:00,4.078636104098976e-05,0.004471109903574355
2021-01-07 16:00:00+00:00,0.0003670622782330213,-0.001823813569225452
2021-01-07 17:00:00+00:00,0.00016307893020228725,0.00031702100231245645
2021-01-07 18:00:00+00:00,0.0006929724441546714,0.00019988348896626817
2021-01-07 19:00:00+00:00,-0.0005295531386207974,0.0007941151335466579
2021-01-07 20:00:00+00:00,-0.00020378219758709903,-0.0005333690664333091
2021-01-08 08:00:00+00:00,-0.00338347397170935,0.002904863740859742
2021-01-08 09:00:00+00:00,0.001349803664921545,6.290932014696438e-05
2021-01-08 10:00:00+00:00,-8.169600914997854e-05,-0.0003931585175827035
2021-01-08 11:00:00+00:00,0.0008987295232647519,0.0001638804799992677
2021-01-08 12:00:00+00:00,-0.00016325864250432698,9.831217655298374e-05
2021-01-08 13:00:00+00:00,0.001877780952769692,-0.0003250536404042492
2021-01-08 14:00:00+00:00,-0.001752027054557237,0.0011144573969159577
2021-01-08 15:00:00+00:00,0.00040816326530612734,0.00011787001033325417
2021-01-08 16:00:00+00:00,-0.0002855977152182998,-0.0008433260044288238
2021-01-08 17:00:00+00:00,-0.0018773211443496862,-0.0012346018802121828
2021-01-08 18:00:00+00:00,-0.0027395019830722678,-0.004060063748512199
2021-01-08 19:00:00+00:00,0.0016400164001639794,0.004722232836119833
2021-01-08 20:00:00+00:00,0.0009414654113795162,0.003267995284225167
2021-01-11 08:00:00+00:00,-0.002944423997055634,-0.005189277932236225
2021-01-11 09:00:00+00:00,-0.0024199171485993487,-0.0010537809318208469
2021-01-11 10:00:00+00:00,0.0005344955184607425,0.0018388276750140875
2021-01-11 11:00:00+00:00,-8.218615163346765e-05,-0.00032822828933976034
2021-01-11 12:00:00+00:00,-4.109645337613266e-05,-0.0005910049053406974
2021-01-11 13:00:00+00:00,-0.0017672201216504257,-0.003540241666830868
2021-01-11 14:00:00+00:00,-0.0005763926057061886,0.003162457749274372
2021-01-11 15:00:00+00:00,0.0010710607621007284,0.0011568763811855565
2021-01-11 16:00:00+00:00,0.0015225710876096699,0.0007668580747923759
2021-01-11 17:00:00+00:00,-0.00016435204207432275,0.001167775178348096
